======================================
First 2 Excitation States
======================================
Init Jacobian = 
[0.99310585]
Wavefunction (Initialization)
Figure Saved.
Thermalization...
After Thermalization:	pmove 0.49	step_size=1.3566	time=86.54s
After MCMC, with initial network, loss=8.72
Iter:207, LossE=2.17685(0.00918)	 pmove=0.52	stepsize=0.9565	 time=1.46s
Iter:208, LossE=2.16697(0.00803)	 pmove=0.52	stepsize=0.9549	 time=1.46s
Iter:209, LossE=2.16802(0.00846)	 pmove=0.52	stepsize=0.9533	 time=1.46s
Iter:210, LossE=2.16394(0.00855)	 pmove=0.52	stepsize=0.9517	 time=1.46s
Iter:211, LossE=2.17073(0.00943)	 pmove=0.52	stepsize=0.9501	 time=1.46s
Iter:212, LossE=2.16491(0.00839)	 pmove=0.52	stepsize=0.9485	 time=1.46s
Iter:213, LossE=2.15513(0.00858)	 pmove=0.52	stepsize=0.9469	 time=1.46s
Iter:214, LossE=2.15405(0.00968)	 pmove=0.52	stepsize=0.9453	 time=1.46s
Iter:215, LossE=2.14372(0.00778)	 pmove=0.52	stepsize=0.9437	 time=1.46s
Iter:216, LossE=2.15502(0.00817)	 pmove=0.53	stepsize=0.9421	 time=1.46s
Iter:217, LossE=2.16543(0.00826)	 pmove=0.48	stepsize=0.9405	 time=1.46s
Iter:218, LossE=2.15534(0.00837)	 pmove=0.52	stepsize=0.9390	 time=1.46s
Iter:219, LossE=2.14145(0.00772)	 pmove=0.53	stepsize=0.9374	 time=1.46s
Iter:220, LossE=2.13588(0.00768)	 pmove=0.48	stepsize=0.9358	 time=1.46s
Iter:221, LossE=2.14262(0.00779)	 pmove=0.53	stepsize=0.9342	 time=1.46s
Iter:222, LossE=2.13947(0.00844)	 pmove=0.48	stepsize=0.9327	 time=1.46s
Iter:223, LossE=2.13397(0.00762)	 pmove=0.48	stepsize=0.9311	 time=1.46s
Iter:224, LossE=2.13351(0.00763)	 pmove=0.48	stepsize=0.9295	 time=1.46s
Iter:225, LossE=2.13147(0.00780)	 pmove=0.53	stepsize=0.9280	 time=1.46s
Iter:226, LossE=2.13381(0.00766)	 pmove=0.48	stepsize=0.9264	 time=1.46s
Iter:227, LossE=2.12772(0.00804)	 pmove=0.48	stepsize=0.9249	 time=1.46s
Iter:228, LossE=2.12663(0.00756)	 pmove=0.48	stepsize=0.9233	 time=1.46s
Iter:229, LossE=2.11730(0.00720)	 pmove=0.48	stepsize=0.9218	 time=1.46s
Iter:230, LossE=2.13710(0.00769)	 pmove=0.48	stepsize=0.9202	 time=1.46s
Iter:231, LossE=2.10662(0.00721)	 pmove=0.48	stepsize=0.9187	 time=1.46s
Iter:232, LossE=2.11609(0.00730)	 pmove=0.48	stepsize=0.9171	 time=1.46s
Iter:233, LossE=2.10814(0.00701)	 pmove=0.48	stepsize=0.9156	 time=1.46s
Iter:234, LossE=2.11559(0.00759)	 pmove=0.48	stepsize=0.9141	 time=1.46s
Iter:235, LossE=2.11209(0.00736)	 pmove=0.48	stepsize=0.9125	 time=1.46s
Iter:236, LossE=2.11423(0.00763)	 pmove=0.48	stepsize=0.9110	 time=1.46s
Iter:237, LossE=2.10682(0.00707)	 pmove=0.48	stepsize=0.9095	 time=1.46s
Iter:238, LossE=2.10331(0.00702)	 pmove=0.48	stepsize=0.9079	 time=1.46s
